Grid,Parent Radial Stress Error,Product Radial Stress Error,Product Circumferential Stress Error
9 x 9,0.001470650698293384,0.0028029738888652057,0.0027624379068935667
17 x 17,0.00018129126713298715,0.0006861784475785396,0.00048131215755368686
33 x 33,2.4944252119287782e-5,7.832804773092102e-5,9.494082822352837e-5
