Grid,Parent Radial Stress Error,Product Radial Stress Error,Product Circumferential Stress Error
9 x 9,0.015092502273507682,0.031781613650258736,0.039128404975923854
17 x 17,0.003561999394012098,0.011968013544588409,0.01351408721840129
33 x 33,0.0010919063798937028,0.0030056976742551733,0.0034311005903784864
